ticker,company_name,sector,industry,fiscal_year,currency,unit,revenue,ebitda,ebit,net_income,eps,total_assets,total_equity,total_debt,cash,net_debt,operating_cash_flow,capex,free_cash_flow,dividend_per_share,equity_ratio_pct,core_completeness_score,full_completeness_score,extraction_status,source_file,notes
HIAG.SW,HIAG Immobilien Holding AG,Real Estate,Property / Real Estate,2015,CHF,CHF_millions,51.193,65.021,64.443,59.491,7.44,1303.087,708.721,502.259,52.351,449.908,25.948,59.977,-34.029,3.5,54.39,7/7,12/13,GO,HIAG_2015.pdf,
HIAG.SW,HIAG Immobilien Holding AG,Real Estate,Property / Real Estate,2016,CHF,CHF_millions,52.438,56.037,55.592,46.374,5.8,1334.132,729.126,512.704,62.766,449.93799999999993,25.556,67.497,-41.941,3.6,54.65,7/7,12/13,GO,HIAG_2016.pdf,
HIAG.SW,HIAG Immobilien Holding AG,Real Estate,Property / Real Estate,2017,CHF,CHF_millions,55.846,73.148,71.389,57.457,7.15,1398.069,760.484,529.047,38.92,490.127,18.619,56.189,-37.57,3.8,54.4,7/7,12/13,GO,HIAG_2017.pdf,
HIAG.SW,HIAG Immobilien Holding AG,Real Estate,Property / Real Estate,2018,CHF,CHF_millions,58.242,104.331,79.889,58.935,7.6,1598.935,784.863,701.977,34.531,667.446,19.776,159.449,-139.673,3.9,49.09,7/7,12/13,GO,HIAG_2018.pdf,
HIAG.SW,HIAG Immobilien Holding AG,Real Estate,Property / Real Estate,2019,CHF,CHF_millions,63.034,114.367,78.946,71.361,8.85,1628.641,672.085,831.299,23.933,807.366,3.117,96.411,-93.294,,41.27,7/7,11/13,GO,HIAG_2019.pdf,
HIAG.SW,HIAG Immobilien Holding AG,Real Estate,Property / Real Estate,2020,CHF,CHF_millions,59.738,122.647,69.859,55.159,6.82,1691.378,761.122,816.686,19.706,796.98,16.397,,,2.3,45.0,7/7,11/13,GO,HIAG_2020.pdf,
HIAG.SW,HIAG Immobilien Holding AG,Real Estate,Property / Real Estate,2021,CHF,CHF_millions,63.142,115.627,115.128,89.263,10.39,1903.643,988.999,792.887,87.35,705.5369999999999,20.094,96.298,-76.204,2.7,51.95,7/7,12/13,GO,HIAG_2021.pdf,
HIAG.SW,HIAG Immobilien Holding AG,Real Estate,Property / Real Estate,2022,CHF,CHF_millions,67.671,115.743,115.222,99.406,9.85,1999.363,1062.282,820.249,32.924,787.325,23.576,94.796,-71.22,2.9,53.13,7/7,12/13,GO,HIAG_2022.pdf,
HIAG.SW,HIAG Immobilien Holding AG,Real Estate,Property / Real Estate,2023,CHF,CHF_millions,70.309,70.929,70.379,46.968,4.65,2004.276,1081.139,780.0,25.3,754.7,15.842,,,3.1,53.94,7/7,11/13,GO,HIAG_2023.pdf,
HIAG.SW,HIAG Immobilien Holding AG,Real Estate,Property / Real Estate,2024,CHF,CHF_millions,75.595,93.831,93.266,75.162,7.44,2038.909,1124.646,770.0,37.676,732.324,94.308,73.223,21.085,3.3,55.16,7/7,12/13,GO,HIAG_2024.pdf,
